"Title","Date","Topics","Url"
"Guernsey minister: No point complaining about Brexit","2019-01-30","Sark, Herm, Alderney, Brexit","https://www.bbc.co.uk/news/world-europe-guernsey-47060289"
"Brexit: Leave.EU and Arron Banks firm fined £120,000 over data breaches","2019-02-01","Arron Banks, Information Commissioner's Office, Brexit","https://www.bbc.co.uk/news/uk-politics-47087440"
"Brexit: Car investment halves as industry hits red alert","2019-01-31","UK economy, Car industry, Jaguar Land Rover, Economic effects of Brexit, Companies, Brexit","https://www.bbc.co.uk/news/business-47055188"
"EU-Japan trade: Five things about the world biggest deal","2019-02-01","Paris climate agreement, Japan, China, European Union, Global trade, Trade, Brexit","https://www.bbc.co.uk/news/business-47086737"
"Brexit vote: A way out, or just a dead end?","2019-01-30","Brexit","https://www.bbc.co.uk/news/uk-northern-ireland-47055459"
"Brexit: Third of UK businesses considering move abroad - survey","2019-02-01","Economic effects of Brexit, European Union, Brexit","https://www.bbc.co.uk/news/business-47083214"
"Brexit deadlock not game of chicken, says Simon Coveney","2019-01-27","NI Brexit, Ireland–UK border, Simon Coveney, Brexit","https://www.bbc.co.uk/news/uk-northern-ireland-47019259"
"Barclays shifts billions of pounds to Dublin because of Brexit","2019-01-30","Barclays, UK Banking","https://www.bbc.co.uk/news/business-47060676"
"Brexit halt to blood donor sessions amid traffic fears reversed","2019-01-29","Dover, Folkestone, Brexit","https://www.bbc.co.uk/news/uk-england-kent-47046041"
"Brexit: How ready is the UK government for no deal?","2019-01-31","Reality Check, Brexit","https://www.bbc.co.uk/news/uk-47063473"
"Brexit vote: How can Article 50 be extended?","2019-01-29","Reality Check, Yvette Cooper, Brexit","https://www.bbc.co.uk/news/uk-politics-47031312"
"Gloucestershire Renishaw stockpiling ahead of Brexit","2019-01-31","Engineering, Wotton-under-Edge, Brexit","https://www.bbc.co.uk/news/uk-england-gloucestershire-47072901"
"Brexit: UK plans new product safety mark for no deal scenario","2019-02-02","Brexit","https://www.bbc.co.uk/news/business-47096621"
"Brexit: Why Dutch fear no deal will leave onions to rot","2019-01-31","Netherlands, Agriculture, Brexit","https://www.bbc.co.uk/news/world-europe-46987471"
"Brexit: A staring match of one against 27","2019-01-30","Theresa May, Brexit","https://www.bbc.co.uk/news/uk-politics-47065754"
"Brexit: Sir Graham Brady could accept delay if deal in place","2019-01-31","Graham Brady, Yvette Cooper, Brexit","https://www.bbc.co.uk/news/uk-politics-47075606"
"Brexit: Local councils to receive £56.5m fund","2019-01-28","James Brokenshire, Local government, Brexit","https://www.bbc.co.uk/news/uk-politics-47032115"
"How has business been affected by Brexit so far?","2019-01-31","UK economy, Economic effects of Brexit, Companies, Brexit","https://www.bbc.co.uk/news/business-47063405"
"Cherry tomatoes could cost 10% more within a week of Brexit","2019-01-31","Companies, Agriculture, Spain, Brexit","https://www.bbc.co.uk/news/business-47071873"
"No-deal Brexit could see ops cancelled, NHS trust says","2019-01-30","Birmingham, NHS, Medicine, Brexit","https://www.bbc.co.uk/news/health-47051031"
"Brexit backstop: Can technology solve the Irish border problem?","2019-02-01","Stephen Barclay, Reality Check, Ireland–UK border, EU Customs Union, Brexit","https://www.bbc.co.uk/news/uk-47047993"
"No-deal Brexit: Should NHS patients be worried?","2019-01-30","Healthcare, NHS, Brexit","https://www.bbc.co.uk/news/health-47061009"
"Brexit: Is Rees-Mogg ready to compromise on the backstop?","2019-01-28","Conservative Party, Jacob Rees-Mogg, Theresa May, Brexit","https://www.bbc.co.uk/news/uk-politics-47033629"
"No-deal Brexit warning for UK drivers","2019-01-17","Personal finance, Car insurance, Brexit","https://www.bbc.co.uk/news/business-46891186"